wos_journal_country,source_title,wos_journal_topic,wos_journal_aims,year_founded,link,,
uk,ethnic and racial studies,race,"Ethnic and Racial Studies is the leading international journal for the analysis of the role of race, racism, ethnicity, migration and forms of ethno-nationalism. These social phenomena are at the heart of many of the major social and political issues in the modern world. As the leading journal in these areas we seek to provide an interdisciplinary academic forum for the presentation of original research and theoretical analysis, drawing particularly on sociology, social policy, anthropology, political science, international relations, geography, history, social psychology and cultural studies.",,https://www.tandfonline.com/journals/rers20,,
us,annals of tourism research,industry,"Annals of Tourism Research is a social sciences journal focusing upon academic perspectives on tourism. For the purposes of determining areas of interest, tourism is defined as a global economic activity comprising travel behaviour, the management and marketing activities of service industries that arise to meet consumer demand, the effects of tourism activities on communities and policy and governance at local, national and international levels. While striving for a balance of theory and application, Annals is ultimately dedicated to developing theoretical constructs that span business and the social and behavioural sciences. Disciplinary areas include, but are not limited to: service industries management, marketing science, consumer marketing, decision-making and behaviour, business ethics, economics and forecasting, environment, geography and development, education and knowledge development, political science and administration, consumer-focused psychology, and anthropology and sociology. Its strategies are to invite and encourage offerings from various disciplines; to serve as a forum through which these may interact; and thus to expand frontiers of knowledge in and contribute to the literature on tourism social science from a multidisciplinary perspective.",,https://www.sciencedirect.com/journal/annals-of-tourism-research/about/aims-and-scope,,
us,social science quarterly,generalist,"Nationally recognized as one of the top journals in the field, Social Science Quarterly (SSQ) publishes current research on a broad range of topics including political science, sociology, economics, history, social work, geography, international studies, and women's studies. SSQ is the journal of the Southwestern Social Science Association.",,https://onlinelibrary.wiley.com/page/journal/15406237/homepage/productinformation.html,,
us,social science research,quantitative,"Social Science Research publishes papers devoted to quantitative social science research and methodology. The journal features articles that illustrate the use of quantitative methods to empirically test social science theory. The journal emphasizes research concerned with issues or methods that cut across traditional disciplinary lines. Special attention is given to methods that have been used by only one particular social science discipline, but that may have application to a broader range of areas with an ultimate goal of testing social science theory.",,https://www.sciencedirect.com/journal/social-science-research/about/aims-and-scope,,
us,journal of marriage and family,family,"The Journal of Marriage and Family (JMF), published by the National Council on Family Relations, has been the leading research journal in the family field for more than 75 years and is consistently the most highly cited journal in Family Science. JMF features original research and theory using the variety of methods reflective of the full range of social sciences, including quantitative, qualitative, and multi-method designs; research interpretation; integrative review; reports on methodological and statistical advances; and critical discussion concerning all aspects of marriage, other forms of close relationships, and families. The journal also publishes brief reports.",,https://onlinelibrary.wiley.com/page/journal/17413737/homepage/productinformation.html,,
us,social forces,generalist,"Established in 1922, Social Forces is recognized as a global leader among social research journals. Social Forces publishes articles of interest to a general social science audience and emphasizes cutting-edge sociological inquiry as well as explores realms the discipline shares with psychology, anthropology, political science, history, and economics. Social Forces is published by Oxford University Press in partnership with the Department of Sociology at the University of North Carolina at Chapel Hill.",1922,https://academic.oup.com/sf/pages/About,,
us,international journal of intercultural relations,immigration,"IJIR is dedicated to advancing knowledge and understanding of theory, research and practice in the field of intercultural relations, including, but not limited to, topics such as immigrant acculturation and integration; intergroup relations, and intercultural communication that have implications for social impact. The journal publishes quantitative and qualitative empirical research and reviews of research literature. Both full length papers and brief reports are published with high priority given to manuscripts that join theory and research with applications in the areas of education, health, social welfare and organizational and community development. IJIR provides an interdisciplinary forum for scholars in fields of psychology, communication, education, management, sociology and related disciplines.",,https://www.sciencedirect.com/journal/international-journal-of-intercultural-relations/about/aims-and-scope,,
uk,sport in society,sport,"The vibrant growth in global academia’s focus upon examining sport’s significance for modern society reflects sports impact on the intersecting domains of culture, identity, politics, governance, business, industry, communication, technology and so on. Sport in Society is an international forum for academics and professionals to engage in these critical debates. The journal publishes original and outstanding peer-reviewed articles and commentaries that advance the understanding of key issues in professional and recreational sport, physical education and exercise, lifestyle and ‘alternative’ sport, and coaching in a social context.",,https://www.tandfonline.com/journals/fcss20/about-this-journal#aims-and-scope,,
us,society,generalist,"Founded in 1962, Society enjoys a wide reputation as a journal that publishes the latest scholarship on the central questions facing contemporary society. It produces six issues a year offering new ideas and quality research in the social sciences and humanities in an intellectually accessible and robust style.",,https://link.springer.com/journal/12115/aims-and-scope,,
us,human ecology,biological,"The theoretical orientation of Human Ecology emphasizes the problem-solving significance of human culture and behavior, from food procurement to systems defining kinship—not to mention political and religious life. The perspective generally embraced here is that human ecology is part and parcel of the larger field of ecology and not simply analogous to it. Contributions to Human Ecology emphasize the complex ways in which humans shape and in turn are shaped by their environment. Original articles, research reports, and brief communications based on empirical research are welcome from fields as diverse as environmental impact studies, resource or habitat maintenance, health and nutrition, risk management, land use history—to name a few. Disciplines commonly represented include anthropology, biological, life and health sciences, geography, and sociology. The journal is peer reviewed. A book review section appears in each issue.",,https://link.springer.com/journal/10745/aims-and-scope,,
us,deviant behavior,deviance,"Deviant Behavior is the only journal that specifically and exclusively addresses social deviance. International and interdisciplinary in scope; it publishes refereed theoretical, descriptive, methodological, and applied papers. All aspects of deviant behavior are discussed, including: crime, juvenile delinquency, alcohol abuse and narcotic addiction, sexual deviance, societal reaction to handicap and disfigurement, mental illness, and socially inappropriate behavior.",,https://www.tandfonline.com/journals/udbh20/about-this-journal#aims-and-scope,,
uk,international journal of sociology and social policy,policy,"The International Journal of Sociology and Social Policy (IJSSP) provides a global, interdisciplinary forum for research and debate in sociology and social policy focussing on topics related to economic and management issues (corporate social responsibility, business ethics, work organisation and entrepreneurship).",,https://www.emeraldgrouppublishing.com/journal/ijssp,,
uk,british journal of sociology of education,education,"British Journal of Sociology of Education is one of the most renowned international scholarly journals in the field. The journal publishes high quality original, theoretically informed analyses of the relationship between education and society, and has an outstanding record of addressing major global debates about the social significance and impact of educational policy, provision, processes and practice in many countries around the world. Contributions are expected to take into account the wide international readership of British Journal of Sociology of Education, and exhibit knowledge of previously published articles in the field. Submissions should be well located within sociological theory, and should not only be rigorous and reflexive methodologically, but also offer original insights to educational problems and or perspectives.",,https://www.tandfonline.com/journals/cbse20/about-this-journal#aims-and-scope,,
uk,sociological review,generalist,"The Sociological Review has been publishing high quality and innovative articles for over 100 years. During this time we have steadfastly remained a general sociological journal, selecting papers of immediate and lasting significance. Covering all branches of the discipline, including criminology, education, gender, medicine, and organization, our tradition extends to research that is anthropological or philosophical in orientation and analytical or ethnographic in approach.",,https://journals.sagepub.com/overview-metric/SOR?,,
us,american journal of economics and sociology,economics,"Published on behalf of The Progress and Poverty Institute, The American Journal of Economics and Sociology was founded in 1941 to encourage the development of transdisciplinary solutions to social problems.",1941,https://onlinelibrary.wiley.com/journal/15367150,,
us,american sociological review,generalist,"American Sociological Review (ASR) is the American Sociological Association’s flagship journal. The ASA founded this journal in 1936 with the mission to publish original works of interest to the discipline of sociology in general, new theoretical developments, results of research that advance understanding of fundamental social processes, and important methodological innovations. All areas of sociology are welcome in ASR. Emphasis is on exceptional quality and general interest.",1936,https://journals.sagepub.com/overview-metric/ASR?,,
uk,sociological research online,generalist,"Sociological Research Online is an international, peer-reviewed journal published in English that promotes rapid communication among sociologists without limitation of topic or approach. It publishes high quality applied sociology, focusing on theoretical, empirical and methodological discussions that engage with current political, cultural and intellectual topics and debates. Articles published by Sociological Research Online are concerned with the application of sociological forms of analysis to a wide range of public issues and private concerns, thereby demonstrating the wide social relevance of sociological research and theory to understanding contemporary social issues.",2017,https://journals.sagepub.com/overview-metric/SRO?,,
us,evolution and human behavior,biological,"Evolution and Human Behavior is an interdisciplinary journal, presenting research reports and theory in which evolutionary perspectives are brought to bear on the study of human behavior. It is primarily a scientific journal, but submissions from scholars in the humanities are also encouraged. Papers reporting on theoretical and empirical work on other species will be welcome if their relevance to the human animal is apparent.",,https://www.sciencedirect.com/journal/evolution-and-human-behavior/about/aims-and-scope,,
uk,current sociology,generalist,"Current Sociology is a fully peer-reviewed, international journal that publishes original research and innovative critical commentary both on current debates within sociology as a developing discipline, and the contribution that sociologists can make to understanding and influencing current issues arising in the development of modern societies in a globalizing world.",1952,https://journals.sagepub.com/overview-metric/CSI?,,
us,sociological forum,generalist,"Sociological Forum is the flagship journal of the Eastern Sociological Society. The journal is peer reviewed and committed to publishing high quality research on substantive issues of fundamental importance to the study of society. The journal’s mission is broad in scope, encompassing empirical works (both quantitative and qualitative), as well as works that develop theories, concepts or methodological strategies. We also consider important replications and timely commentary. All areas of sociology are welcome in Sociological Forum, as the journal strives to create a site of learning and exchange for scholars and students of the social sciences.",,https://onlinelibrary.wiley.com/page/journal/15737861/homepage/productinformation.html,,
us,critical sociology,critical theory,"Critical Sociology is an international peer reviewed journal that publishes the highest quality original research. The journal seeks to engage and promote critical thinking by publishing articles from all perspectives broadly defined as falling within the boundaries of critical or radical social science. Originally appearing as The Insurgent Sociologist, it grew out of the tumultuous times of the late 1960s and was a by-product of the ""Sociology Liberation Movement"" which erupted at the 1969 meetings of the American Sociological Association. At first publishing work mainly within the broadest boundaries of the Marxist tradition, over the past decade the journal has been home to articles informed by post-modern, feminist, cultural and other perspectives that critically evaluate the workings of the capitalist system and its impact on the world. The journal is a platform for scholars whose work explores the relationship between race, gender and class in their quest for a deeper understanding of society writ large. It will continue in this fashion in order to preserve its position as one of a select few ""alternative"" journals having widespread recognition and respect within the world of social science scholarship.",1969,https://journals.sagepub.com/overview-metric/CRS?,,
uk,sexualities,gender and sexuality,"Sexualities is an established international journal and an invaluable resource, publishing articles, reviews and scholarly comment on the shifting nature of human sexualities. The journal adopts a broad, interdisciplinary perspective covering the whole of the social sciences, cultural history, cultural anthropology and social geography, as well as feminism, gender studies, cultural studies and lesbian and gay studies.",,https://journals.sagepub.com/overview-metric/SEX?,,
uk,"work, employment and society",work,"WES covers all aspects of work, employment and unemployment and their connections with wider social processes and social structures. The journal is sociologically orientated but welcomes contributions from other disciplines which addresses the issues in a way that informs less debated aspects of the journal's remit, such as unpaid labour and the informal economy. The journal adheres to high standards of scholarship but sees no conflict between accessibility and scholarships; submissions must be clear and free from jargon.",,https://journals.sagepub.com/overview-metric/WES?,,
uk,nations and nationalism,nationality,"A uniquely broad-scope journal, Nations and Nationalism embraces the richness and multiple facets of ‘nationalism studies’ and promotes international research and exchange of ideas on all aspects of ethnicity, nationalism and nation formation, across the globe and both in the past and in the present. A journal of the Association for the Study of Ethnicity and Nationalism (ASEN), we aim to advance understanding of the common features, typical variations and general conditions of emergence of the protean phenomena classified as nationalism.",,https://onlinelibrary.wiley.com/journal/14698129,,
us,international review for the sociology of sport,sport,"The International Review for the Sociology of Sport is a peer reviewed academic journal that is indexed on ISI. Eight issues are now published each year. The main purpose of the IRSS is to disseminate research and scholarship on sport throughout the international academic community. The journal publishes research articles of varying lengths, from standard length research papers to shorter reports and commentary, as well as book and media reviews.",,https://journals.sagepub.com/overview-metric/IRS?,,
uk,european sociological review,generalist,The European Sociological Review publishes original research articles in all fields of Sociology. ESR is the flagship journal of the European Consortium for Sociological Research and shares in the Consortium's mission to foster sociological research that combines analytical theory and stringent empirical analysis to contribute to a cumulative and generalising body of knowledge on the social world.,,https://academic.oup.com/esr/pages/About,,
us,sociological perspectives,generalist,"Established in 1957 and published for the Pacific Sociological Association, Sociological Perspectives offers a wealth of articles spanning the breadth of sociological inquiry. In the pages of Sociological Perspectives, contributions by leading scholars typically address the ever-expanding body of knowledge about social processes related to economic, political, anthropological, and historical issues. Now published six times per year, each issue of Sociological Perspectives offers pertinent and up-to-the-minute articles within the field of sociology. The journal is truly international, accepting manuscripts from authors in ten countries over the past year.",,https://journals.sagepub.com/overview-metric/SPX?,,
uk,british journal of sociology,generalist,"The British Journal of Sociology (BJS) is a leading international sociological journal published on behalf of the London School of Economics and Political Science (LSE). Established in 1950, the journal features rigorous, original research that speaks to a general sociological audience and draws on an array of quantitative and qualitative methods. The BJS has a proud tradition of featuring work that advances both scholarly debate and broader understandings of key social and political questions.",,https://onlinelibrary.wiley.com/journal/14684446,,
uk,leisure sciences,industry,"Leisure Sciences presents transdisciplinary scientific, theoretical, and conceptual inquiries into the study of leisure, here conceived of as the concept of leisure in society and behavior: leisure theory, leisure philosophy, the social psychology of leisure, and the sociology of leisure. Additionally, the study of related concepts such as parks and urban spaces, recreation and events, travel and tourism, environmental engagement and well-being are all welcome here. Articles that highlight theory, methodology, methods and advance the understanding of leisure receive priority for publication consideration",,https://www.tandfonline.com/journals/ulsc20/about-this-journal#aims-and-scope,,
us,journal for the scientific study of religion,religion,"The Journal for the Scientific Study of Religion (JSSR) is a multi-disciplinary journal that publishes articles, research notes, and book reviews on the social scientific study of religion. Published articles are representative of the best current theoretical and methodological treatments of religion. Manuscripts are subjected to a double-blind review process.",,https://onlinelibrary.wiley.com/page/journal/14685906/homepage/productinformation.html,,
us,sociological quarterly,generalist,"The Sociological Quarterly is devoted to publishing cutting-edge scholarship in all areas of sociological inquiry. We look for articles that advance the discipline and reach the widest possible audience. Our focus is on publishing the best theoretical, methodological and empirical (qualitative and quantitative) sociology. Since 1960, the contributors, peer-reviewers, advisory editors, and readers of The Sociological Quarterly have made it one of the leading generalist journals in the field.",,https://www.tandfonline.com/journals/utsq20,,
uk,thesis eleven,theory,"Thesis Eleven (Thesis 11), peer reviewed and published quarterly, is multidisciplinary, reaching across the social sciences (sociology, anthropology, philosophy, geography, cultural studies, literature and politics) and cultivating diverse critical theories of modernity. Reflecting the broad scope of social theory it encourages civilizational analysis on a wide range of alternative modernities and takes critical theory from the margins of the world system to its centre.",,https://journals.sagepub.com/home/the,yes,
us,journal of health and social behavior,health,Journal of Health and Social Behavior is a medical sociology journal that publishes empirical and theoretical articles that apply sociological concepts and methods to the understanding of health and illness and the organization of medicine and health care. Its editorial policy favors manuscripts that are grounded in important theoretical issues in medical sociology or the sociology of mental health and that advance theoretical understanding of the processes by which social factors and human health are inter-related.,,https://journals.sagepub.com/overview-metric/HSB?,,
uk,sociology compass,generalist,"Covering a wide range of topics, including social theory, culture, inequality, politics, and more, Sociology Compass is an international sociology journal publishing concise, comprehensive, research articles and surveys of current research and debates in the field, and is aimed at both scholars and students.",,https://compass.onlinelibrary.wiley.com/journal/17519020,,
uk,journal of sociology,generalist,"The Journal of Sociology publishes original, high quality scholarship across all sub-fields of sociology. We are committed to showcasing sociological theory and applied sociology, and research using both quantitative and qualitative methods. We welcome interdisciplinary pieces with concerns that are sociological in nature, in an acknowledgment that sociological thinking takes place across a range of disciplines, such as in cultural, gender and organisation studies, and outside of the academy. The Journal engages in critical debate, through special issues, commentary on current affairs, and reviews of new research. We welcome submissions from both established and emerging scholars. The Journal is based in the Southern Hemisphere, and invites submissions from sociologists in the Asia-Pacific region and from across the globe.",,https://journals.sagepub.com/overview-metric/JOS?,,
us,american journal of sociology,generalist,"Established in 1895 as the first US scholarly journal in its field, the American Journal of Sociology (AJS) presents pathbreaking work from all areas of sociology, with an emphasis on theory building and innovative methods. AJS strives to speak to the general sociology reader and is open to contributions from across the social sciences—sociology, political science, economics, history, anthropology, and statistics—that seriously engage the sociological literature to forge new ways of understanding the social.",,https://www.journals.uchicago.edu/journals/ajs/about,,
us,rural sociology,rural,"A forum for cutting-edge research, Rural Sociology explores sociological and interdisciplinary approaches to emerging social issues and new approaches to recurring social issues affecting rural people and places. The journal is particularly interested in advancing sociological theory and welcomes the use of a wide range of social science methodologies. Manuscripts that use a sociological perspective to address the effects of local and global systems on rural people and places, rural community revitalization, rural demographic changes, rural poverty, natural resource allocations, the environment, food and agricultural systems, and related topics from all regions of the world are welcome. Rural Sociology also accepts papers that significantly advance the measurement of key sociological concepts or provide well-documented critical analysis of one or more theories as these measures and analyses are related to rural sociology.",,https://onlinelibrary.wiley.com/page/journal/15490831/homepage/productinformation.html,,
us,qualitative research,qualitative,"Qualitative Research was established in 2001 by Sara Delamont and Paul Atkinson. The journal was founded to offer a critical and reflective gaze on methodological approaches, understandings and engagements, and worked to counter tendencies that imagined qualitative research could become a taken for granted set of precepts and procedures. Qualitative Research encourages authors to take a critical engagement with the orthodox and the heterodox, the familiar and the innovative, the modern and the postmodern, and the experimental and the traditional. The journal continues to be guided by the principles of the founding editors, and invites creative, critical engagements with methods, methodology and qualitative practice.",,https://journals.sagepub.com/overview-metric/QRJ?,,
uk,international sociology,international,"Established in 1986 by the International Sociological Association (ISA), International Sociology was one of the first sociological journals to reflect the research interests and voice of the international community of sociologists. This highly ranked peer-reviewed journal publishes contributions from diverse areas of sociology, with a focus on international and comparative approaches. The journal presents innovative theory and empirical approaches, with attention to insights into the sociological imagination that deserve worldwide attention. New ways of interpreting the social world and sociology from an international perspective provide innovative insights into key sociological issues.",,https://journals.sagepub.com/overview-metric/ISS?,,
us,comparative studies in society and history,historical,"Comparative Studies in Society and History (CSSH) is an international forum for new research on problems of recurrent patterning and change in human societies through time and in the contemporary world. We feature the work of specialists in all branches of the social sciences and humanities, bringing together multidisciplinary research, cultural and area studies, and innovative ventures in theory and method. We are committed to building connections and shared languages of comparison across the core fields of our readership: history, anthropology, political science, and sociology. Along with articles and review essays published in the journal, our companion website features interviews with our contributors, commentaries, resources for teaching, and discussions of emerging trends in the practice and politics of comparison.",,https://www.cambridge.org/core/journals/comparative-studies-in-society-and-history/information/about-this-journal,,
uk,language and speech,sociolinguistics,"Language and Speech is a peer-reviewed journal which provides an international forum for communication among researchers in the disciplines that contribute to our understanding of the production, perception, processing, learning, use, and disorders of speech and language. The journal accepts reports of original research in all these areas.",,https://journals.sagepub.com/overview-metric/LAS?,,
us,sociological inquiry,generalist,"Sociological Inquiry (SI) is the journal of Alpha Kappa Delta, the International Sociology Honor Society. SI is committed to the exploration of the human condition in all of its social and cultural complexity. We are particularly interested in well-written papers that challenge us to look anew at traditional areas or identify novel areas for us to investigate. Both theoretical and empirical work is welcome, as are the varied research methods in the study of social and cultural life.",,https://onlinelibrary.wiley.com/page/journal/1475682x/homepage/productinformation.html,,
us,journal of contemporary ethnography,qualitative,"The Journal of Contemporary Ethnography (JCE) is an international and interdisciplinary forum for research that uses ethnographic methods to examine how people act, interact, and construct meanings and identities in natural settings. These settings include groups, subcultures, organizations, and societies.",,https://journals.sagepub.com/overview-metric/JCE?,,
uk,economy and society,economics,"As one of the leading scholarly refereed journals in its field, Economy and Society aims to promote new debates and currents of social thought. It seeks to provide a forum to explore the social sciences in the broadest interdisciplinary sense, and welcomes innovative articles from sociologists and anthropologists, political scientists, geographers, legal theorists, philosophers, economists, and scholars who work across and between disciplines.",,https://www.tandfonline.com/journals/reso20/about-this-journal#aims-and-scope,,
us,sociological spectrum,generalist,"Sociological Spectrum publishes papers on theoretical, methodological, quantitative and qualitative research, and applied research in areas of sociology, social psychology, anthropology, and political science.",,https://www.tandfonline.com/journals/usls20/about-this-journal#aims-and-scope,,
us,population and development review,demography,"Population and Development Review is essential reading for anyone who wants to keep abreast of population studies; the relationships between population and social, economic, and environmental change; and related thinking on public policy. The journal publishes theoretical advances as well as empirical analyses and case studies, using a broad range of disciplinary approaches, with a focus on historical and present-day problems.",,https://onlinelibrary.wiley.com/journal/17284457,,
us,social problems,policy,"Social Problems, the official publication of The Society for the Study of Social Problems, is a quarterly journal that publishes theoretical and empirical sociological articles on an extensive array of complex social concerns from race and gender to labor relations to environmental issues and human rights. It has been an important forum for sociological thought for over six decades.",,https://academic.oup.com/socpro/pages/About,,
us,journal of leisure research,industry,"The Journal of Leisure Research ( JLR) is an international scholarly journal that publishes innovative and interdisciplinary research that addresses critical issues of access to and engagement in leisure behaviors as they affect health and well-being across sectors (i.e., parks, recreation, leisure, sport, tourism, events) at individual, group, community and societal levels. (Please note that the journal receives a very large number of tourism papers many of which make no connection to leisure—only those tourism papers that make connections to leisure will be considered for review.) Research from disciplines that offer theoretical and methodological insights into various (e.g., positive, negative) aspects of leisure in all its forms, such as social, psychological, cultural, political and environmental contexts is presented.",,https://www.tandfonline.com/journals/ujlr20/about-this-journal#aims-and-scope,,
us,symbolic interaction,culture,"A premier journal, Symbolic Interaction presents work inspired by the interactionist perspective on society, social organization, and social life. It is the major publication of the Society for the Study of Symbolic Interaction. The journal welcomes contributions from all scholars working, empirically or theoretically, within the broad tradition of social science inspired by American pragmatism and its European counterparts, as well as those wishing to engage in debates with that tradition. The journal publishes research that develops interactionist theories, generates new methodological directions and ideas, and studies substantive topics from the interactionist perspective. It recognizes the increasing global interest in interactionist approaches, and actively encourages submissions from scholars working from a variety of affiliations.",,https://onlinelibrary.wiley.com/page/journal/15338665/homepage/productinformation.html,,
us,qualitative sociology,qualitative,"The journal Qualitative Sociology is dedicated to the qualitative interpretation and analysis of social life. The journal offers both theoretical and analytical research, and publishes manuscripts based on research methods such as interviewing, participant observation, ethnography, historical analysis, content analysis and others which do not rely primarily on numerical data.",,https://link.springer.com/journal/11133,,
uk,journal of law and society,law,"Established as the leading British periodical for Socio-Legal Studies, the Journal of Law and Society presents an interdisciplinary approach. It has broad international appeal, attracting contributions and addressing issues from a range of legal cultures, involving theory and relevant data and progressive policy of cross-cultural interest. Challenging, authoritative, and topical, the journal appeals to legal scholars as well as sociologists, criminologists, and other social scientists.",,https://onlinelibrary.wiley.com/journal/14676478,,
us,socius,generalist,"Socius: Sociological Research for a Dynamic World, ASA's open access journal, is an open access journal that aims to make new research readily available. It provides an online forum for the rapid dissemination of peer-reviewed empirical work, produced in time to be relevant to ongoing debates. Socius is a place to find fresh ideas, early discoveries, and open theoretical problems that can pose new challenges for social science. Committed to an efficient peer review process and open access, Socius’s online format ensures that all scientifically sound sociological research from any subfield can be published, without the volume constraints imposed by traditional print limits. Traditional manuscript styles are welcome, but we strongly encourage short papers and those providing interesting empirical findings that may spark innovation and future work.",,https://journals.sagepub.com/overview-metric/SRD?,,
uk,journal of historical sociology,historical,"Sociology Lens is the new name for the Journal of Historical Sociology which was founded in 1988. Sociology Lens builds upon the legacy of Journal of Historical Sociology, founded on the ideas of Philip Abrams and the conviction that historical and social studies ultimately have a common subject matter and can only benefit from the interchange of ideas and perspectives. The journal aims to provoke discussion and debate about important issues facing society today, acknowledging that we must often to look to the historical past in order to inform our understanding of contemporary structures and thinking. Sociology Lens welcomes high-quality research that investigates society through multiple temporal and disciplinary frames, to link the past, present and future of sociology.",,https://onlinelibrary.wiley.com/page/journal/2832580x/homepage/productinformation.html,,
uk,innovation: the european journal of social science research,international,"Innovation: The European Journal of Social Science Research is a social science journal on innovation, change, and transformation of organisations, institutions, and societies at large. It combines analytical and descriptive rigour with an attempt to provide and discuss solutions, visions, roadmaps as well as threat scenarios and dystopias. We consider this combination of hermeneutical analysis and application of deconstruction and construction as the cornerstone of the journal, which is open for all social and cultural sciences.",,https://www.tandfonline.com/journals/ciej20/about-this-journal#aims-and-scope,,
uk,rationality and society,rational action,"Rationality & Society is a peer-reviewed journal which focuses on the contributions of rational-action based theory to a broad range of disciplines studying human societies, and on the questions and controversies surrounding this approach. Read more about the aims, scope and envisaged future developments of Rationality & Society in an editorial statement by the current editor-in-chief.",,https://journals.sagepub.com/overview-metric/RSS?,,
