wos_journal_country,source_title,wos_journal_topic,wos_journal_aims,year_founded,link,,
us,men and masculinities,gender and sexuality,"Men and Masculinities publishes peer-reviewed, interdisciplinary scholarship on the topic of masculinities. We welcome empirical, theoretical, and literature review submissions that employ diverse methodologies and draw from a range of disciplines, including sociology, anthropology, feminist studies, psychology, media and communication studies, history, criminology, literature, racial and ethnic studies, cultural studies, and others. Men and Masculinities invites submissions by scholars from around the world. The journal is committed to publishing critical masculinities scholarship grounded in the most current theoretical perspectives within gender studies, particularly intersectional feminism and queer theory. And we are interested in cutting-edge work that engages with gender theory in ways that push at the boundaries of “masculinities studies.”",,https://us.sagepub.com/en-us/nam/journal/men-and-masculinities,,
us,sociology of sport journal,sport,"The purpose of the Sociology of Sport Journal is to stimulate and communicate research, critical thought, and theory development on issues pertaining to the sociology of sport. The journal publishes peer-reviewed empirical and theoretical papers; book reviews; and critical essays. Analyses of sport and physical culture from diverse theoretical and methodological perspectives are encouraged. Submissions concerned with sport and physical culture as related to race, class, gender, sexuality, popular media, political economy, globalization, technology, and youth culture are especially welcome.",,https://journals.humankinetics.com/view/journals/ssj/ssj-overview.xml?tab_body=about,,
uk,socio-economic review,economics,"Originating in the Society for the Advancement of Socio-Economics (SASE), Socio-Economic Review (SER) is part of a broader movement in the social sciences for the rediscovery of the socio-political foundations of the economy. Devoted to the advancement of socio-economics, it deals with the analytical, political and moral questions arising at the intersection between economy and society. Articles in SER explore how the economy is or should be governed by social relations, institutional rules, political decisions, and cultural values. They also consider how the economy in turn affects the society of which it is part, for example by breaking up old institutional forms and giving rise to new ones. The domain of the journal is deliberately broadly conceived, so new variations to its general theme may be discovered and editors can learn from the papers that readers submit.",,https://academic.oup.com/ser/pages/About,,
uk,ethnography,qualitative,"Ethnography is a peer reviewed, international and interdisciplinary journal for the ethnographic study of social and cultural change. Bridging the chasm between sociology and anthropology, it is the leading network for dialogical exchanges between monadic ethnographers and those from all disciplines involved and interested in ethnography and society. It seeks to promote embedded research that fuses close-up observation, rigorous theory and social critique.",,https://journals.sagepub.com/overview-metric/ETH?,,
us,review of religious research,religion,The Review of Religious Research (RRR) journal aims to publish manuscripts meeting these six scope criteria: (1) reports empirical research; (2) attends to religiosity and spirituality topics; (3) identifies religious groups and their adherents; (4) engages in interdisciplinary social science research practices; (5) describes methods and analytical techniques; and (6) applies research with relevance for practitioners. Criteria are described below.,,https://us.sagepub.com/en-us/nam/review-of-religious-research/journal203801#aims-and-scope,,
uk,language in society,sociolinguistics,"Language in Society is an international journal of sociolinguistics concerned with language and discourse as aspects of social life. The journal publishes empirical articles of general theoretical, comparative or methodological interest to students and scholars in sociolinguistics, linguistic anthropology, and related fields. Language in Society aims to strengthen international scholarship and interdisciplinary conversation and cooperation among researchers interested in language and society by publishing work of high quality which speaks to a wide audience. In addition to original articles, the journal publishes reviews and notices of the latest important books in the field as well as occasional theme and discussion sections.",,https://www.cambridge.org/core/journals/language-in-society,,
us,european journal of social theory,theory,"European Journal of Social Theory (EJST), edited by Gerard Delanty, is a peer reviewed quarterly journal that publishes original articles in social theory. It is interdisciplinary in scope and international in its appeal to scholars anywhere in the world. Its conception of social theory is a broad one, including the theoretical traditions within the social sciences, critical social analysis and debates arising from the philosophy of social science. Engaged with contemporary debates in social theory, the journal explores theoretical contexts of issues relating to major social transformations and a broad range of topics of interest to the social and human sciences.",,https://journals.sagepub.com/overview-metric/EST?,,
uk,european societies,generalist,European Societies publishes sociological research from or about Europe. The journal is the flagship journal of the European Sociological Association and shares its aims and objectives. European Societies contributes to plurality and openness within the discipline of sociology. We observe ethical standards in academic independence and conduct the doubly-anonymous review of submitted manuscripts.,,https://www.tandfonline.com/journals/reus20/about-this-journal#journal-metrics,,
uk,international journal of comparative sociology,international,"The International Journal of Comparative Sociology was established in 1960 to publish the highest quality research that is both international in scope and comparative in method. Fully peer reviewed, the journal draws articles from sociologists worldwide and encourages competing perspectives. IJCS recognizes that many significant research questions are inherently interdisciplinary, and therefore welcomes work from scholars in related disciplines, including political science, geography, economics, anthropology, and business sciences. The journal is published six times a year, including special issues on topics of special interest to the international social science community.",,https://journals.sagepub.com/overview-metric/COS?,,
us,teaching sociology,teaching,"Teaching Sociology publishes articles, notes, and reviews intended to be helpful to the discipline’s teachers. Articles range from experimental studies of teaching and learning to broad, synthetic essays on pedagogically important issues. The general intent is to share theoretically stimulating and practically useful information and advice with teachers.",,https://journals.sagepub.com/overview-metric/TSO?,,
uk,social movement studies,social movements,"Social Movement Studies is an international and inter-disciplinary journal providing a forum for academic debate and analysis of extra-parliamentary political, cultural and social movements throughout the world. Social Movement Studies has a broad, inter-disciplinary approach designed to accommodate papers engaging with any theoretical school and which study the origins, development, organisation, values, context and impact of historical and contemporary movements active in all parts of the world. We understand our inter-disciplinary approach to include both contributions that engage with particular schools of thought relevant to social movements and popular protest and contributions that extend across disciplinary boundaries. Social Movement Studies aims to publish soundly researched analyses and to re-establish writing as intervention. From this broad and inclusive perspective we are interested in contributions dealing with social movements, popular protests and networks that support protest. This includes contributions dealing with but not restricted to:",,https://www.tandfonline.com/journals/csms20/about-this-journal#aims-and-scope,,
us,cornell hospitality quarterly,industry,"The Cornell Hospitality Quarterly (CHQ) is a peer reviewed, applied, scholarly journal published quarterly in association with Cornell University’s School of Hotel Administration and the newly formed Cornell SC Johnson College of Business. CHQ aims to be the source of the most important advances in research that is specific to the hospitality industry. Conceptual and empirical papers, case studies, and research notes on any industry-relevant topic, from any discipline and using any methodology are welcome, provided they offer new insights about important industry challenges and issues. We offer constructive, developmental feedback from some of the leading industry experts and thought leaders, and work in a collaborative fashion with authors to ensure that only the highest quality papers are published.",,https://journals.sagepub.com/overview-metric/CQX?,,
uk,young,youth,"YOUNG is an international scholarly journal of youth research, which seeks to publish innovative and outstanding theoretical, textual, and empirical research on the life situation of young people. The journal has an interdisciplinary profile and welcomes original articles that integrate perspectives from different approaches and research traditions. YOUNG is a peer-reviewed, Gold Open Access journal.",,https://journals.sagepub.com/overview-metric/YOU?,,
uk,international studies in sociology of education,education,"International Studies in Sociology of Education is a high quality and forward-thinking international peer-reviewed journal. Founded in 1990, the journal has become a leading journal of the discipline internationally.",,https://www.tandfonline.com/journals/riss20/about-this-journal#aims-and-scope,,
us,journal of sociology and social welfare,social work,"The Journal of Sociology & Social Welfare (JSSW) is a peer-reviewed journal sponsored jointly by Western Michigan University, the College of Health and Human Services, and the School of Social Work.",,https://scholarworks.wmich.edu/jssw/,,
uk,journal of consumer culture,culture,"Journal of Consumer Culture is an established journal, supporting and promoting the continuing expansion in interdisciplinary research focused on consumption and consumer culture, opening up debates and areas of exploration.",,https://journals.sagepub.com/overview-metric/JOC?,,
us,work and occupations,work,"For over 50 years, Work and Occupations has published rigorous social science research on the human dynamics of the workplace, employment, and society from an international, sociological perspective. Work and Occupations provides a broad perspective on the workplace, examining international approaches to work-related issues as well as insights from scholars in a variety of fields, including sociology, history, industrial relations, labor economics, and political science. In addition to regular features including research notes, review essays, and book reviews, each issue of Work and Occupations is an outlet for original contributions in a wide range of areas associated with work, addressing such topics as: emotion, work, and labor; employee involvement; gender and race relations; globalization and work; immigrant and migrant workers; internal labor markets; labor force trends; labor-management relations; labor markets and careers; labor movement revitalization; managing workplace diversity; networks in careers and workplaces; occupations and professions; occupational health and safety; organizational careers; organizational culture; socialization processes; transitions between work, home, unemployment, and school; violence in the workplace; work and family; work attitudes and behaviors; worker cultures; work group dynamics; worker productivity; working in later life; workplace conflict; and workplace organization.",,https://journals.sagepub.com/overview-metric/WOX?,,
us,american sociologist,disciplinary,"The American Sociologist publishes papers, comments, and other writings on topics of professional and disciplinary concern to sociologists. The contents examine intellectual, practical, and ethical issues affecting the work, careers, and perspectives of sociologists. In addition, the journal encourages research and reporting on ways in which sociological knowledge and skill relate to issues of broad public concern, past, present, and future.",,https://link.springer.com/journal/12108,,
uk,journal of cultural economy,culture,"Journal of Cultural Economy is concerned with the role played by various forms of material cultural practice in the organisation of the economy and the social, and the relations between them. It offers a unique interdisciplinary forum for work on these questions from across the social sciences and humanities. These include, but are not restricted to, the contributions of governmentality, pragmatism, narrative analysis, actor network theory and science and technology studies and associated debates about valuation, measurement, performativity and performance in economy, culture and society.",,https://www.tandfonline.com/journals/rjce20/about-this-journal#aims-and-scope,,
us,sociology of education,education,"Sociology of Education (SOE) provides a forum for studies in the sociology of education and human social development. SOE publishes research that examines how social institutions and individuals’ experiences within these institutions affect educational processes and social development. Such research may span various levels of analysis, ranging from the individual to the structure of relations among social and educational institutions. In an increasingly complex society, important educational issues arise throughout the life cycle.",,https://journals.sagepub.com/overview-metric/SOE?,,
uk,journal of classical sociology,theory,"The Journal of Classical Sociology publishes peer-reviewed, cutting-edge articles that will command general respect within the academic community. The aim of the Journal of Classical Sociology is to demonstrate scholarly excellence in the study of the sociological tradition. The journal elucidates the origins of sociology and also demonstrates how the classical tradition renews the sociological imagination in the present day. The journal is a critical but constructive reflection on the roots and formation of sociology from the Enlightenment to the 21st century.",,https://journals.sagepub.com/overview-metric/JCS?,,
us,sociological theory,theory,"Sociological Theory publishes work in all areas of theory, including new substantive theories, history of theory, metatheory, formal theory construction, and synthetic contributions. Although aimed at a sociological readership, its orientation is pluralistic and it welcomes contributions by scholars in other fields. Peer reviewed and published quarterly, Sociological Theory is renowned for featuring the best international research and scholarship.",,https://journals.sagepub.com/overview-metric/STX?,,
us,multicultural perspectives,education,"Multicultural Perspectives (MCP) promotes the philosophy of social justice, equity, and inclusion. It celebrates cultural and ethnic diversity as a national strength that enriches the fabric of society. MCP encourages a range of material from academic to personal perspectives; poetry and art; articles of an academic nature illuminating the discussion of cultural pluralism and inclusion; articles and position papers reflecting a variety of disciplines; and reviews of film, art, and music that address or embody multicultural forms. Its main audience is K-12 educators, social scientists, governmental social service personnel, teacher educators, and those involved in multicultural education. MCP is published four times a year by the National Association for Multicultural Education. Many more manuscripts are submitted each year than can be published. Following the guidelines stipulated on the Instruction for Authors page will enhance the likelihood of the manuscript's acceptance. Articles are reviewed by a panel of reviewers under an anonymized review process.",,https://www.tandfonline.com/journals/hmcp20/about-this-journal,,
uk,acta sociologica,international,"Acta Sociologica is an international peer reviewed journal that welcomes high-quality theoretical and empirical papers in all areas of sociology in the form of original articles, as well as book reviews, review essays and commentaries to previously published articles or ongoing academic discussions in sociology. We also aim to have special issues on topics of general sociological interest that attempts to mediate between Nordic and international sociology.",,https://journals.sagepub.com/home/asj,,
uk,cultural sociology,culture,Cultural Sociology is an official journal of the British Sociological Association. It is a fully peer reviewed international journal that publishes original research and review articles concerning the sociological analysis of culture.,,https://journals.sagepub.com/overview-metric/CUS?,,
us,international political sociology,politics,"International Political Sociology is one of seven journals supported by the International Studies Association. It responds to the need for more productive collaboration among sociologists, international relations specialists and sociopolitical theorists. IPS offers a meeting place for scholars from all over the world, and strongly encourages transdisciplinary and critical analyses of contemporary global phenomena. Issues of particular concern for IPS are those challenges arising from contemporary transformations of social, political, and global orders, especially given that many approaches to international relations reproduce statist forms that marginalize and silence multiple social processes. IPS draws especially on traditions of historical, legal, cultural, economic and political sociology that address global orders and changes, as well as on the cognate fields of socio-political theory, anthropology and human geography. It is committed to theoretical innovation, the decentering of dominant modes of knowledge production and novel approaches to empirical research. Most importantly, IPS is committed to the geographical and cultural diversification of research beyond the usual circuits of European and North-American scholarship. In order to help broaden the community engaging in international studies, the journal will facilitate the submission of articles in languages other than English.",,https://academic.oup.com/ips/pages/About,,
us,race and social problems,race,"Race and Social Problems (RASP) provides a multidisciplinary forum for the publication of articles and discussion of issues germane to race and its enduring relationship to socioeconomic, psychological, political, and cultural problems. The journal publishes original empirical studies, reviews of past research, theoretical studies, and invited essays that advance the understanding of the complexities of race and its relationship to social problems. Submissions from the fields of social work, anthropology, communications, criminology, economics, history, law, political science, psychology, public health, and sociology are welcome.",,https://link.springer.com/journal/12552,,
uk,global discourse,international,"Global Discourse is an interdisciplinary, problem-oriented journal of applied contemporary thought operating at the intersection of politics, international relations, sociology and social policy. The journal's scope is broad, encouraging interrogation of current affairs with regard to core questions of distributive justice, wellbeing, cultural diversity, autonomy, sovereignty, security and recognition. All issues are themed and aimed at addressing pressing issues as they emerge. Rejecting the notion that publication is the final stage in the research process, Global Discourse seeks to foster discussion and debate between often artificially isolated disciplines and paradigms, with responses to articles encouraged and conversations continued across issues.",,https://bristoluniversitypressdigital.com/view/journals/gd/gd-overview.xml?tab_body=about#Scope,,
us,sociology of race and ethnicity,race,"The official journal of ASA’s Section on Racial and Ethnic Minorities, Sociology of Race and Ethnicity publishes the highest quality, cutting-edge sociological research on race and ethnicity regardless of epistemological, methodological, or theoretical orientation. Sociology of Race and Ethnicity provides a fulcrum upon which sociologically-centered work will swing as it also seeks to provide new linkages between the discipline of sociology and other disciplines and areas where race and ethnicity are central components.",,https://journals.sagepub.com/overview-metric/SRE?,,
uk,journal of mathematical sociology,quantitative,"The goal of the Journal of Mathematical Sociology is to publish models and mathematical techniques that would likely be useful to professional sociologists. The Journal also welcomes papers of mutual interest to social scientists and other social and behavioral scientists, as well as papers by non-social scientists that may encourage fruitful connections between sociology and other disciplines. Reviews of new or developing areas of mathematics and mathematical modeling that may have significant applications in sociology will also be considered.",,https://www.tandfonline.com/journals/gmas20/about-this-journal#aims-and-scope,,
uk,latino studies,race,"This journal explores the local, national, transnational, and hemispheric realities that influence the Latina/x/o presence in the United States (as well as elsewhere in the diaspora). Latino Studies presents an international research agenda that builds bridges between the academic and non-academic worlds, and promotes mutual learning and collaboration among all the Latino national groups.",,https://www.palgrave.com/gp/journal/41276,,
uk,"crime, media, culture",culture,"Crime, Media, Culture is a fully peer reviewed, international journal providing the primary vehicle for exchange between scholars who are working at the intersections of criminological and cultural inquiry. It promotes a broad cross-disciplinary understanding of the relationship between crime, criminal justice, media and culture.",,https://journals.sagepub.com/home/CMC,,
us,sociological science,generalist,"Sociological Science is a general interest, open access sociology journal committed to the highest standards of rigor and relevance. We aim to be the flagship journal for social scientists committed to advancing a general understanding of social processes.",,https://sociologicalscience.com,,quantitative
us,mobilization,social movements,"Mobilization is the leading journal for research on social movements, protests, and contentious politics. It advances the study of these phenomena by providing a forum to refine and innovate methodologies, theories, and concepts across the social science disciplines. We invite manuscripts on social and political movements from all social science and related disciplines.",,https://mobilization.scholasticahq.com/for-authors,,
us,social currents,generalist,"Social Currents, the official journal of the Southern Sociological Society, is a broad-ranging social science journal that focuses on cutting-edge research from all methodological and theoretical orientations with implications for national and international sociological communities. The uniqueness of Social Currents lies in its format. The front end of every issue is devoted to short, theoretical, agenda-setting contributions and brief, empirical and policy-related pieces. The back end of every issue includes standard journal articles that cover topics within specific subfields of sociology, as well as across the social sciences more broadly.",,,,
us,human ecology review,culture,Human Ecology Review (HER) is a semi-annual journal that publishes peer-reviewed interdisciplinary research on all aspects of human–environment interactions (Research in Human Ecology) and reviews books of relevance to the journal’s subject matter and the interest of its readers. HER will not publish manuscripts that are purely biophysical nor ones that are purely sociocultural and it will not publish manuscripts that are monodisciplinary or specialisations to a specific discipline. Authors are strongly encouraged to make clear their manuscript’s connection to an understanding of human ecology and human ecological scholarship more broadly.,,https://press.anu.edu.au/publications/journals/human-ecology-review,,
uk,studies in symbolic interaction,culture,"Symbolic interactionism is a distinctive approach to the study of human life (Blumer 1969). Symbolic interactionists assert that humans interpret and give meaning to the world through a complex set of symbols. The meanings for these symbols are generated through our interactions. It is through these interactions that humans develop a concept of self and larger social structures. Symbolic interactionism enables us to distinguish the meanings for these symbols attributed to these acts. The symbolic interactionist approach is a micro level orientation focusing on close up human interaction in specific situations. These situations are varied and plentiful allowing a wealth of theories, methods and viewpoints to be considered. Essentially human society consists of people engaging in symbolic interaction.",,https://www.emeraldgrouppublishing.com/archived/products/books/series.htm%3Fid%3D0163-2396,,qualitative
us,"media, culture & society",culture,"Media, Culture & Society provides a major international, peer-reviewed forum for the presentation of research and discussion concerning the media, including the newer information and communication technologies, within their political, economic, cultural and historical contexts. It regularly engages with a wider range of issues in cultural and social analysis. Its focus is on substantive topics and on critique and innovation in theory and method. An interdisciplinary journal, it welcomes contributions in any relevant areas and from a worldwide authorship.",,https://journals.sagepub.com/overview-metric/MCS?,,
us,network science,networks,"Network Science (NWS) is an interdisciplinary journal aiming to consolidate and advance the emerging discipline of the same name. Recognizing an ever-increasing relevance across domains,the journal is focused on inspiring applications of network approaches, rigorous theory building, and innovative methods.",,https://www.cambridge.org/core/journals/network-science,,quantitative
us,journal of political and military sociology,politics,"The Journal of Political & Military Sociology seeks high-quality articles that advance the study of political and military sociology through theoretical, methodological, and empirical research. We welcome submissions that explore interdisciplinary and comparative perspectives, addressing pressing issues in political and military social policy. The journal is particularly interested in papers that analyze topics such as civil-military relations, the sociology of armed conflict, defense and security policies, political institutions, governance, military culture, and the role of the military in shaping societal structures. We encourage research that examines these themes across diverse geopolitical contexts, including both Western and non-Western perspectives, and contributes to critical debates on contemporary global challenges.",,https://journals.upress.ufl.edu/jpms,,
us,journal of sport & social issues,sport,"Founded in 1991 by a new generation of sports scholars, commentators, and activists, the Journal of Sport and Social Issues is an international leader in the publication of critically oriented, interdisciplinary research on sport, its structure, and its role(s) in the contemporary, global world. Given sport’s ever-expanding scope and its complicated relationships with power and privilege, this work is needed now more than ever.",1991,https://journals.sagepub.com/overview-metric/JSS?,,
us,society and mental health,health,Society and Mental Health (SMH) publishes original and innovative peer-reviewed research and theory articles that link social structure and sociocultural processes with mental health and illness in society. It will also provide an outlet for sociologically relevant research and theory articles that are produced in other disciplines and subfields concerned with issues related to mental health and illness. The aim of the journal is to advance knowledge in the sociology of mental health and illness by publishing the leading work that highlights the unique perspectives and contributions that sociological research and theory can make to our understanding of mental health and illness in society.,,https://journals.sagepub.com/overview-metric/SMH?,,
us,theoria,theory,"Theoria is an engaged, multidisciplinary and peer-reviewed journal of social and political theory. Published every quarter, its purpose is to address, through academic debate, the many challenges posed by the major social, political and economic forces that shape the contemporary world, especially but not only with regard to Africa, the global South, and their relations with the global North. Theoria wishes to promote discussion of and writing about social and political theory in any form and from any time and place, regardless of ideological perspective and methodological approach. It is particularly interested in how modern systems of power, and traditional and emergent forms of politics, bear on the central questions in social and political theory, such as democracy, freedom, equality, justice, race, gender and identity.",,https://www.berghahnjournals.com/view/journals/theoria/theoria-overview.xml?tab_body=about,yes,
uk,body & society,emotion and embodiment,"Body & Society has from its inception in March 1995 as a companion journal to Theory, Culture & Society, pioneered and shaped the field of body-studies. It has been committed to theoretical openness characterized by the publication of a wide range of critical approaches to the body, alongside the encouragement and development of innovative work that contains a trans-disciplinary focus.",,https://journals.sagepub.com/overview-metric/BOD?,,
uk,norma,gender and sexuality,"NORMA is an international journal for high quality research concerning masculinity in its many forms. This is an interdisciplinary journal concerning questions about the body, about social and textual practices, and about men and masculinities in social structures. We aim to advance theory and methods in this field. We hope to present new themes for critical studies of men and masculinities, and develop new approaches to 'intersections' with race, sexuality, class and coloniality. We are eager to have conversations about the role of men and boys, and the place of masculinities, in achieving gender equality and social equality. The journal was begun in the Nordic region; we now strongly invite scholarly work from all parts of the world, as well as research about transnational relations and spaces.",,https://www.tandfonline.com/journals/rnor20/about-this-journal#aims-and-scope,,
uk,american journal of cultural sociology,culture,"This journal focuses on the cultural aspects of contemporary sociology, and creates a common forum for scholars, practitioners, and researchers worldwide to follow the latest developments and debates within the field.",,https://www.palgrave.com/gp/journal/41290,,
us,international journal of sociology,international,"Established in 1971, the International Journal of Sociology (IJS) publishes research central to cross-cultural and comparative scholarship in the social sciences and neighboring disciplines. IJS accepts original articles, research reports, and discussion papers that are theoretically refined and empirically complex. It also welcomes contributions on the use of research methods. Submissions should embody a global perspective and be of relevance for an international audience. In this way, IJS has broad appeal to scholars interested in cross-cultural and comparative social and political research.",,https://www.tandfonline.com/journals/mijs20/about-this-journal#aims-and-scope,,
us,gender & society,gender and sexuality,"Gender & Society, the official journal of Sociologists for Women in Society, is a top-ranked journal in sociology and women's studies and publishes fewer than five percent of all papers submitted to it. Articles in Gender & Society analyze gender and gendered processes in interactions, organizations, societies, and global and transnational spaces. The journal primarily publishes empirical articles, which are both theoretically engaged and methodologically rigorous, including both qualitative and quantitative methods. The journal also occasionally publishes theoretical articles that meaningfully advance sociological theories about gende",,https://journals.sagepub.com/overview-metric/GAS?,,
us,journal of world-systems research,development,"The main editorial goal of the Journal of World-Systems Research is to develop and disseminate scholarly research on topics that are relevant to the analysis of world-systems. We especially want to include works that proceed from several different theoretical stances and disciplines. These include, but are not limited to, civilizationists, evolutionary approaches, international political economy, comparative, historical and cultural analysis. We seek the work of political scientists, historians, sociologists, ethnographers, archaeologists, economists and geographers.",,https://jwsr.pitt.edu/ojs/jwsr/about,,
us,politics & society,politics,"Established in the late 1960s as an alternative, critical voice of the social sciences, Politics & Society publishes original analyses of politics, its social roots, and its consequences. In its broadest sense, politics encompasses conflicts over the shape and future of society. These conflicts, in countries throughout the world, play out in parliaments and civil society, in the workplace and the managerial office, the party and the bureaucracy, the NGO and the government ministry, the courtroom and the community, the military and the university, the national or global economy, the social movement and the family. The quest for a good society, both proposals pushing it and impediments blocking it, is also enduringly a part of political life, and so we welcome papers proposing radical visions and alternatives, as well as those interrogating class, racial, national, and gender inequalities. We seek papers from a variety of disciplines that combine field work or other types of empirical research with critical theoretical reflection. Papers analyzing transformations in political contention, thought, and discourse are also welcome. We look for cutting-edge work with interesting ideas, and we are open to what some have called “outrageous hypotheses” that address persisting social problems yet can neither be proved nor disproved. Chiefly, then, we seek papers that matter: that speak to pressing questions of our time, prompt serious thought and perhaps relevant action, and appeal to scholars and social actors in important and provocative ways.",,https://journals.sagepub.com/overview-metric/PAS?,yes,
uk,emotions and society,emotion and embodiment,"Emotions and Society aims to publish high-quality, original peer-reviewed articles which advance theoretical and empirical understanding of emotions in social life. It is associated with the European Sociological Association's (ESA) Research Network on Sociology of Emotions (RN11), but seeks submissions from a wide range of international authors writing in this area. The sociology of emotions has developed unique perspectives on emotions that attend to their social construction and the ways in which they are embedded in social structures and inhere in social processes. The Journal seeks to expand the largely unexhausted potential for developing innovative approaches not only to emotions per se, but through them to the social generally. All methodological approaches to studying emotions are welcome, but they should demonstrate rigour and be framed in ways that will be of interest to sociologically inclined scholars.",,https://bristoluniversitypressdigital.com/view/journals/emsoc/emsoc-overview.xml?tab_body=about#Scope,,
us,sociology of development,development,"Sociology of Development is an international journal addressing issues of development, broadly considered. With basic as well as policy-oriented research, topics explored include economic development and well-being, gender, health, inequality, poverty, environment and sustainability, political economy, conflict, social movements, and more.",,,,
us,youth & society,youth,"Youth & Society is a multidisciplinary peer-reviewed journal that focuses on issues related to the 10-24 year old population. We are interested in both U.S. and global adolescent populations. We do not publish studies with sampling from university students. Although the adolescent period is the focus of the journal, transitional issues from childhood to adolescence and from adolescence to adulthood are also of interest. Relevant topics include a wide array of issues ranging from individual level factors to policy concerns pertinent to adolescence. We are particularly interested in the social, contextual, and political factors that influence healthy and harmful adolescent development. We are open to a range of both quantitative and qualitative methodologies.",,https://journals.sagepub.com/home/yas,,
uk,discourse & society,qualitative,"Discourse & Society explores the relevance of discourse analysis to the social sciences. It stimulates a problem-oriented and critical approach and pays particular attention to the political implications of discourse and communication. Discourse & Society is a multidisciplinary, peer-reviewed journal whose major aim is to publish outstanding research at the boundaries of discourse analysis and the social sciences. It focuses on explicit theory formation and analysis of the relationships between the structures of text, talk, language use, verbal interaction or communication, on the one hand, and societal, political or cultural micro- and macrostructures and cognitive social representations, on the other hand. That is, D&S studies society through discourse and discourse through an analysis of its socio-political and cultural functions or implications. Its contributions are based on advanced theory formation and methodologies of several disciplines in the humanities and social sciences.",,https://journals.sagepub.com/overview-metric/DAS?,,
